Telengabagan,22.59494,88.38525,Telengabagan Durgotsab is a renowned Durga puja in North Kolkata (Calcutta);
College Square,22.57486,88.36457,College Square is a renowned Durga puja in North Kolkata (Calcutta);
Dum Dum Park Tarun Sangha,22.61072,88.41362,Dum Dum Park Tarun Sangha is a renowned Durga puja in North Kolkata (Calcutta);
Dum Dum Park Bharat Chakra,22.61066,88.41433,Dum Dum Park Bharat Chakra is a renowned Durga puja in North Kolkata (Calcutta);
Dum Dum Tarun Dal,22.61173,88.41873,Dum Dum Tarun Dal is a renowned Durga puja in North Kolkata (Calcutta);
Dum Dum Park Yubak Brinda,22.60547,88.41773,Dum Dum Park Yubak Brinda is a renowned Durga puja in North Kolkata (Calcutta);
Laketown Adhibasi Brinda,22.6054,88.40379,Laketown Adhibasi Brinda is a renowned Durga puja in North Kolkata (Calcutta);
Laketown Netaji Sporting Club,22.60808,88.39962,Laketown Netaji Sporting Club is a renowned Durga puja in North Kolkata (Calcutta);
Md. Ali Park,22.57722,88.36087,Md. Ali Park is a renowned Durga puja in North Kolkata (Calcutta);
Mitali - Kankurgachi,22.58004,88.39397,Mitali - Kankurgachi is a renowned Durga puja in North Kolkata (Calcutta)
Salt Lake CJ Block,22.58927,88.42359,Salt Lake CJ Block is a renowned Durga puja in North Kolkata (Calcutta);
Salt Lake BJ Block,22.59079,88.42671,Salt Lake BJ Block is a renowned Durga puja in North Kolkata (Calcutta);
Salt Lake FD Block,22.58346,88.41221,Salt Lake FD Block is a renowned Durga puja in North Kolkata (Calcutta);
Salt Lake GD Block,22.57677,88.41416,Salt Lake GD Block is a renowned Durga puja in North Kolkata (Calcutta);
Salt Lake HA Block,22.57641,88.41297,Salt Lake HA Block is a renowned Durga puja in North Kolkata (Calcutta);
Salt Lake IA Block,22.5743,88.40952,Salt Lake IA Block is a renowned Durga puja in North Kolkata (Calcutta);
Salt Lake Laboni,22.58286,88.40672,Salt Lake Laboni is a renowned Durga puja in North Kolkata (Calcutta);
Santosh Mitra Square,22.56545,88.36546,Santosh Mitra Square is a renowned Durga puja in North Kolkata (Calcutta);
Sealdah Railway Athletic Club,22.57094,88.37213,Sealdah Railway Athletic Club is a renowned Durga puja in North Kolkata (Calcutta);
Sreebhumi Sporting Club,22.59899,88.40293,Sreebhumi Sporting Club is a renowned Durga puja in North Kolkata (Calcutta);
Ghas Bagan,22.59192,88.34346,Ghas Bagan near Salkia is a renowned Durga puja in North Kolkata (Calcutta);
Olabibitala Sarbojanin,22.57552,88.31578,Olabibitala Sarbojanin is a renowned Durga puja in North Kolkata (Calcutta);
Purbachal Sarbojanin,22.57301,88.40746,Purbachal Sarbojanin is a renowned Durga puja in North Kolkata (Calcutta);
Salt Lake AJ Block,22.59216,88.42829,Salt Lake AJ Block is a renowned Durga puja in North Kolkata (Calcutta);
Laketown Nutan Palli Pradeep Sangha,22.60372,88.3975,Laketown Nutan Palli Pradeep Sangha is a renowned Durga puja in North Kolkata (Calcutta);
Dakshineswar Dolpere Adi Sabojonin Durgapuja,22.65944,88.36443,Dakshineswar Dolpere Adi Sabojonin Durgapuja is a renowned Durga puja in North Kolkata (Calcutta);
Beliaghata Nabamilan,22.56483,88.39515,Beliaghata Nabamilan is a renowned Durga puja in North Kolkata (Calcutta);
Sandhani,22.56446,88.39649,Sandhani is a renowned Durga puja in North Kolkata (Calcutta);
Swapnar Bagan,22.57919,88.39546,Swapnar Bagan is a renowned Durga puja in North Kolkata (Calcutta);
Salt Lake AE Block - Part 1,22.59856,88.4094,Salt Lake AE Block - Part 1 is a renowned Durga puja in North Kolkata (Calcutta);
Beliaghata 33 No Palli,22.5682,88.39192,Beliaghata 33 No Palli is a renowned Durga puja in North Kolkata (Calcutta);
Salt Lake AE Block - Part 2,22.60093,88.41335,Salt Lake AE Block - Part 2 is a renowned Durga puja in North Kolkata (Calcutta);
Salt Lake BE Block - Part 2,22.59683,88.41219,Salt Lake BE Block - Part 2 is a renowned Durga puja in North Kolkata (Calcutta);
Salt Lake CK-CL Block,22.58463,88.42786,Salt Lake CK-CL Block is a renowned Durga puja in North Kolkata (Calcutta);
Salt Lake DL block,22.58213,88.42581,Salt Lake DL block is a renowned Durga puja in North Kolkata (Calcutta);
Karunamayee G Block,22.58311,88.42317,Karunamayee G Block is a renowned Durga puja in North Kolkata (Calcutta);
